Logger 1,Time,Celsius(°C)
61,2025-02-17 19:00:00,-0.5
62,2025-02-17 19:02:00,-0.5
63,2025-02-17 19:04:00,-0.5
64,2025-02-17 19:06:00,-0.5
65,2025-02-17 19:08:00,-0.5
66,2025-02-17 19:10:00,-0.5
67,2025-02-17 19:12:00,-0.5
68,2025-02-17 19:14:00,-0.5
69,2025-02-17 19:16:00,-0.5
70,2025-02-17 19:18:00,-0.5
71,2025-02-17 19:20:00,-0.5
72,2025-02-17 19:22:00,-0.5
73,2025-02-17 19:24:00,-0.5
74,2025-02-17 19:26:00,-0.5
75,2025-02-17 19:28:00,-0.5
76,2025-02-17 19:30:00,-1.0
77,2025-02-17 19:32:00,-1.0
78,2025-02-17 19:34:00,-1.0
79,2025-02-17 19:36:00,-1.0
80,2025-02-17 19:38:00,-1.0
81,2025-02-17 19:40:00,-1.0
82,2025-02-17 19:42:00,-1.0
83,2025-02-17 19:44:00,-1.0
84,2025-02-17 19:46:00,-1.0
85,2025-02-17 19:48:00,-1.0
86,2025-02-17 19:50:00,-1.0
87,2025-02-17 19:52:00,-1.0
88,2025-02-17 19:54:00,-1.0
89,2025-02-17 19:56:00,-1.0
90,2025-02-17 19:58:00,-1.0
91,2025-02-17 20:00:00,-1.0
92,2025-02-17 20:02:00,-1.0
93,2025-02-17 20:04:00,-1.0
94,2025-02-17 20:06:00,-1.0
95,2025-02-17 20:08:00,-1.0
96,2025-02-17 20:10:00,-1.0
97,2025-02-17 20:12:00,-1.0
98,2025-02-17 20:14:00,-1.0
99,2025-02-17 20:16:00,-1.0
100,2025-02-17 20:18:00,-1.0
101,2025-02-17 20:20:00,-1.0
102,2025-02-17 20:22:00,-1.0
103,2025-02-17 20:24:00,-1.0
104,2025-02-17 20:26:00,-1.0
105,2025-02-17 20:28:00,-1.0
106,2025-02-17 20:30:00,-1.0
107,2025-02-17 20:32:00,-1.0
108,2025-02-17 20:34:00,-1.0
109,2025-02-17 20:36:00,-1.0
110,2025-02-17 20:38:00,-1.0
111,2025-02-17 20:40:00,-1.0
112,2025-02-17 20:42:00,-1.0
113,2025-02-17 20:44:00,-1.0
114,2025-02-17 20:46:00,-1.0
115,2025-02-17 20:48:00,-1.5
116,2025-02-17 20:50:00,-1.5
117,2025-02-17 20:52:00,-1.5
118,2025-02-17 20:54:00,-1.5
119,2025-02-17 20:56:00,-1.5
120,2025-02-17 20:58:00,-1.5
121,2025-02-17 21:00:00,-1.5
122,2025-02-17 21:02:00,-1.5
123,2025-02-17 21:04:00,-1.5
124,2025-02-17 21:06:00,-1.5
125,2025-02-17 21:08:00,-1.5
126,2025-02-17 21:10:00,-1.5
127,2025-02-17 21:12:00,-1.5
128,2025-02-17 21:14:00,-1.5
129,2025-02-17 21:16:00,-1.5
130,2025-02-17 21:18:00,-1.5
131,2025-02-17 21:20:00,-1.5
132,2025-02-17 21:22:00,-1.5
133,2025-02-17 21:24:00,-1.5
134,2025-02-17 21:26:00,-1.5
135,2025-02-17 21:28:00,-1.5
136,2025-02-17 21:30:00,-1.5
137,2025-02-17 21:32:00,-1.5
138,2025-02-17 21:34:00,-1.5
139,2025-02-17 21:36:00,-1.5
140,2025-02-17 21:38:00,-1.5
141,2025-02-17 21:40:00,-1.5
142,2025-02-17 21:42:00,-1.5
143,2025-02-17 21:44:00,-1.5
144,2025-02-17 21:46:00,-1.5
145,2025-02-17 21:48:00,-1.5
146,2025-02-17 21:50:00,-1.5
147,2025-02-17 21:52:00,-1.5
148,2025-02-17 21:54:00,-1.5
149,2025-02-17 21:56:00,-1.5
150,2025-02-17 21:58:00,-1.5
151,2025-02-17 22:00:00,-1.5
152,2025-02-17 22:02:00,-1.5
153,2025-02-17 22:04:00,-1.5
154,2025-02-17 22:06:00,-1.5
155,2025-02-17 22:08:00,-1.5
156,2025-02-17 22:10:00,-1.5
157,2025-02-17 22:12:00,-1.5
158,2025-02-17 22:14:00,-1.5
159,2025-02-17 22:16:00,-1.5
160,2025-02-17 22:18:00,-1.5
161,2025-02-17 22:20:00,-1.5
162,2025-02-17 22:22:00,-1.5
163,2025-02-17 22:24:00,-1.5
164,2025-02-17 22:26:00,-1.5
165,2025-02-17 22:28:00,-1.5
166,2025-02-17 22:30:00,-1.5
167,2025-02-17 22:32:00,-1.5
168,2025-02-17 22:34:00,-1.5
169,2025-02-17 22:36:00,-1.5
170,2025-02-17 22:38:00,-1.5
171,2025-02-17 22:40:00,-1.5
172,2025-02-17 22:42:00,-1.5
173,2025-02-17 22:44:00,-1.5
174,2025-02-17 22:46:00,-1.5
175,2025-02-17 22:48:00,-1.5
176,2025-02-17 22:50:00,-1.5
177,2025-02-17 22:52:00,-1.5
178,2025-02-17 22:54:00,-1.5
179,2025-02-17 22:56:00,-1.5
180,2025-02-17 22:58:00,-1.5
181,2025-02-17 23:00:00,-1.5
182,2025-02-17 23:02:00,-1.5
183,2025-02-17 23:04:00,-1.5
184,2025-02-17 23:06:00,-1.5
185,2025-02-17 23:08:00,-1.5
186,2025-02-17 23:10:00,-1.5
187,2025-02-17 23:12:00,-1.5
188,2025-02-17 23:14:00,-2.0
189,2025-02-17 23:16:00,-2.0
190,2025-02-17 23:18:00,-2.0
191,2025-02-17 23:20:00,-2.0
192,2025-02-17 23:22:00,-2.0
193,2025-02-17 23:24:00,-2.0
194,2025-02-17 23:26:00,-2.0
195,2025-02-17 23:28:00,-2.0
196,2025-02-17 23:30:00,-2.0
197,2025-02-17 23:32:00,-2.0
198,2025-02-17 23:34:00,-2.0
199,2025-02-17 23:36:00,-2.0
200,2025-02-17 23:38:00,-2.0
201,2025-02-17 23:40:00,-2.0
202,2025-02-17 23:42:00,-2.0
203,2025-02-17 23:44:00,-2.0
204,2025-02-17 23:46:00,-2.0
205,2025-02-17 23:48:00,-2.0
206,2025-02-17 23:50:00,-2.0
207,2025-02-17 23:52:00,-2.0
208,2025-02-17 23:54:00,-2.0
209,2025-02-17 23:56:00,-2.0
210,2025-02-17 23:58:00,-2.0
211,2025-02-18 00:00:00,-2.0
212,2025-02-18 00:02:00,-2.0
213,2025-02-18 00:04:00,-2.0
214,2025-02-18 00:06:00,-2.0
215,2025-02-18 00:08:00,-2.0
216,2025-02-18 00:10:00,-2.0
217,2025-02-18 00:12:00,-2.0
218,2025-02-18 00:14:00,-2.0
219,2025-02-18 00:16:00,-2.0
220,2025-02-18 00:18:00,-2.0
221,2025-02-18 00:20:00,-2.0
222,2025-02-18 00:22:00,-2.0
223,2025-02-18 00:24:00,-2.0
224,2025-02-18 00:26:00,-2.0
225,2025-02-18 00:28:00,-2.0
226,2025-02-18 00:30:00,-2.0
227,2025-02-18 00:32:00,-2.0
228,2025-02-18 00:34:00,-2.0
229,2025-02-18 00:36:00,-2.0
230,2025-02-18 00:38:00,-2.0
231,2025-02-18 00:40:00,-2.0
232,2025-02-18 00:42:00,-2.0
233,2025-02-18 00:44:00,-2.0
234,2025-02-18 00:46:00,-2.0
235,2025-02-18 00:48:00,-2.0
236,2025-02-18 00:50:00,-2.0
237,2025-02-18 00:52:00,-2.0
238,2025-02-18 00:54:00,-2.0
239,2025-02-18 00:56:00,-2.0
240,2025-02-18 00:58:00,-2.0
241,2025-02-18 01:00:00,-2.0
242,2025-02-18 01:02:00,-2.0
243,2025-02-18 01:04:00,-2.0
244,2025-02-18 01:06:00,-2.0
245,2025-02-18 01:08:00,-2.0
246,2025-02-18 01:10:00,-2.0
247,2025-02-18 01:12:00,-2.0
248,2025-02-18 01:14:00,-2.0
249,2025-02-18 01:16:00,-2.0
250,2025-02-18 01:18:00,-2.0
251,2025-02-18 01:20:00,-2.0
252,2025-02-18 01:22:00,-2.0
253,2025-02-18 01:24:00,-2.0
254,2025-02-18 01:26:00,-2.0
255,2025-02-18 01:28:00,-2.0
256,2025-02-18 01:30:00,-2.0
257,2025-02-18 01:32:00,-2.0
258,2025-02-18 01:34:00,-2.0
259,2025-02-18 01:36:00,-2.0
260,2025-02-18 01:38:00,-2.0
261,2025-02-18 01:40:00,-2.0
262,2025-02-18 01:42:00,-2.0
263,2025-02-18 01:44:00,-2.0
264,2025-02-18 01:46:00,-2.0
265,2025-02-18 01:48:00,-2.0
266,2025-02-18 01:50:00,-2.0
267,2025-02-18 01:52:00,-2.0
268,2025-02-18 01:54:00,-2.0
269,2025-02-18 01:56:00,-2.5
270,2025-02-18 01:58:00,-2.0
271,2025-02-18 02:00:00,-2.5
272,2025-02-18 02:02:00,-2.5
273,2025-02-18 02:04:00,-2.5
274,2025-02-18 02:06:00,-2.5
275,2025-02-18 02:08:00,-2.5
276,2025-02-18 02:10:00,-2.5
277,2025-02-18 02:12:00,-2.5
278,2025-02-18 02:14:00,-2.5
279,2025-02-18 02:16:00,-2.5
280,2025-02-18 02:18:00,-2.5
281,2025-02-18 02:20:00,-2.5
282,2025-02-18 02:22:00,-2.5
283,2025-02-18 02:24:00,-2.5
284,2025-02-18 02:26:00,-2.5
285,2025-02-18 02:28:00,-2.5
286,2025-02-18 02:30:00,-2.5
287,2025-02-18 02:32:00,-2.5
288,2025-02-18 02:34:00,-2.5
289,2025-02-18 02:36:00,-2.5
290,2025-02-18 02:38:00,-2.5
291,2025-02-18 02:40:00,-2.5
292,2025-02-18 02:42:00,-2.5
293,2025-02-18 02:44:00,-2.5
294,2025-02-18 02:46:00,-2.5
295,2025-02-18 02:48:00,-2.5
296,2025-02-18 02:50:00,-2.5
297,2025-02-18 02:52:00,-2.5
298,2025-02-18 02:54:00,-2.5
299,2025-02-18 02:56:00,-2.5
300,2025-02-18 02:58:00,-2.5
301,2025-02-18 03:00:00,-2.5
302,2025-02-18 03:02:00,-2.5
303,2025-02-18 03:04:00,-2.5
304,2025-02-18 03:06:00,-2.5
305,2025-02-18 03:08:00,-2.5
306,2025-02-18 03:10:00,-2.5
307,2025-02-18 03:12:00,-2.5
308,2025-02-18 03:14:00,-2.5
309,2025-02-18 03:16:00,-2.5
310,2025-02-18 03:18:00,-2.5
311,2025-02-18 03:20:00,-2.5
312,2025-02-18 03:22:00,-2.5
313,2025-02-18 03:24:00,-2.5
314,2025-02-18 03:26:00,-2.5
315,2025-02-18 03:28:00,-2.5
316,2025-02-18 03:30:00,-2.5
317,2025-02-18 03:32:00,-2.5
318,2025-02-18 03:34:00,-2.5
319,2025-02-18 03:36:00,-2.5
320,2025-02-18 03:38:00,-2.5
321,2025-02-18 03:40:00,-2.5
322,2025-02-18 03:42:00,-2.5
323,2025-02-18 03:44:00,-2.5
324,2025-02-18 03:46:00,-2.5
325,2025-02-18 03:48:00,-2.5
326,2025-02-18 03:50:00,-2.5
327,2025-02-18 03:52:00,-2.5
328,2025-02-18 03:54:00,-2.5
329,2025-02-18 03:56:00,-2.5
330,2025-02-18 03:58:00,-2.5
331,2025-02-18 04:00:00,-2.5
332,2025-02-18 04:02:00,-2.5
333,2025-02-18 04:04:00,-2.5
334,2025-02-18 04:06:00,-2.5
335,2025-02-18 04:08:00,-2.5
336,2025-02-18 04:10:00,-2.5
337,2025-02-18 04:12:00,-2.5
338,2025-02-18 04:14:00,-2.5
339,2025-02-18 04:16:00,-2.5
340,2025-02-18 04:18:00,-2.5
341,2025-02-18 04:20:00,-2.5
342,2025-02-18 04:22:00,-2.5
343,2025-02-18 04:24:00,-2.5
344,2025-02-18 04:26:00,-2.5
345,2025-02-18 04:28:00,-2.5
346,2025-02-18 04:30:00,-2.5
347,2025-02-18 04:32:00,-2.5
348,2025-02-18 04:34:00,-2.5
349,2025-02-18 04:36:00,-2.5
350,2025-02-18 04:38:00,-3.0
351,2025-02-18 04:40:00,-2.5
352,2025-02-18 04:42:00,-2.5
353,2025-02-18 04:44:00,-3.0
354,2025-02-18 04:46:00,-3.0
355,2025-02-18 04:48:00,-3.0
356,2025-02-18 04:50:00,-3.0
357,2025-02-18 04:52:00,-3.0
358,2025-02-18 04:54:00,-3.0
359,2025-02-18 04:56:00,-3.0
360,2025-02-18 04:58:00,-3.0
361,2025-02-18 05:00:00,-3.0
362,2025-02-18 05:02:00,-3.0
363,2025-02-18 05:04:00,-3.0
364,2025-02-18 05:06:00,-3.0
365,2025-02-18 05:08:00,-3.0
366,2025-02-18 05:10:00,-3.0
367,2025-02-18 05:12:00,-3.0
368,2025-02-18 05:14:00,-3.0
369,2025-02-18 05:16:00,-3.0
370,2025-02-18 05:18:00,-3.0
371,2025-02-18 05:20:00,-3.0
372,2025-02-18 05:22:00,-3.0
373,2025-02-18 05:24:00,-3.0
374,2025-02-18 05:26:00,-3.0
375,2025-02-18 05:28:00,-3.0
376,2025-02-18 05:30:00,-3.0
377,2025-02-18 05:32:00,-3.0
378,2025-02-18 05:34:00,-3.0
379,2025-02-18 05:36:00,-3.0
380,2025-02-18 05:38:00,-3.0
381,2025-02-18 05:40:00,-3.0
382,2025-02-18 05:42:00,-3.0
383,2025-02-18 05:44:00,-3.0
384,2025-02-18 05:46:00,-3.0
385,2025-02-18 05:48:00,-3.0
386,2025-02-18 05:50:00,-3.0
387,2025-02-18 05:52:00,-3.0
388,2025-02-18 05:54:00,-3.0
389,2025-02-18 05:56:00,-3.0
390,2025-02-18 05:58:00,-3.0
391,2025-02-18 06:00:00,-3.0
392,2025-02-18 06:02:00,-3.0
393,2025-02-18 06:04:00,-3.0
394,2025-02-18 06:06:00,-3.0
395,2025-02-18 06:08:00,-3.0
396,2025-02-18 06:10:00,-3.0
397,2025-02-18 06:12:00,-3.0
398,2025-02-18 06:14:00,-3.0
399,2025-02-18 06:16:00,-3.0
400,2025-02-18 06:18:00,-3.0
401,2025-02-18 06:20:00,-3.0
402,2025-02-18 06:22:00,-3.0
403,2025-02-18 06:24:00,-3.0
404,2025-02-18 06:26:00,-3.0
405,2025-02-18 06:28:00,-3.0
406,2025-02-18 06:30:00,-3.0
407,2025-02-18 06:32:00,-3.0
408,2025-02-18 06:34:00,-3.0
409,2025-02-18 06:36:00,-3.0
410,2025-02-18 06:38:00,-3.0
411,2025-02-18 06:40:00,-3.0
412,2025-02-18 06:42:00,-3.0
413,2025-02-18 06:44:00,-3.0
414,2025-02-18 06:46:00,-3.0
415,2025-02-18 06:48:00,-3.0
416,2025-02-18 06:50:00,-3.0
417,2025-02-18 06:52:00,-3.5
418,2025-02-18 06:54:00,-3.5
419,2025-02-18 06:56:00,-3.5
420,2025-02-18 06:58:00,-3.5
421,2025-02-18 07:00:00,-3.5
422,2025-02-18 07:02:00,-3.5
423,2025-02-18 07:04:00,-3.5
424,2025-02-18 07:06:00,-3.5
425,2025-02-18 07:08:00,-3.5
426,2025-02-18 07:10:00,-3.5
427,2025-02-18 07:12:00,-3.5
428,2025-02-18 07:14:00,-3.5
429,2025-02-18 07:16:00,-3.5
430,2025-02-18 07:18:00,-3.5
431,2025-02-18 07:20:00,-3.5
432,2025-02-18 07:22:00,-3.5
433,2025-02-18 07:24:00,-3.5
434,2025-02-18 07:26:00,-3.5
435,2025-02-18 07:28:00,-3.5
436,2025-02-18 07:30:00,-3.5
437,2025-02-18 07:32:00,-3.5
438,2025-02-18 07:34:00,-3.5
439,2025-02-18 07:36:00,-3.5
440,2025-02-18 07:38:00,-3.5
441,2025-02-18 07:40:00,-3.5
442,2025-02-18 07:42:00,-3.5
443,2025-02-18 07:44:00,-3.5
444,2025-02-18 07:46:00,-3.5
445,2025-02-18 07:48:00,-3.5
446,2025-02-18 07:50:00,-3.5
447,2025-02-18 07:52:00,-3.5
448,2025-02-18 07:54:00,-3.5
449,2025-02-18 07:56:00,-4.0
450,2025-02-18 07:58:00,-4.0
451,2025-02-18 08:00:00,-4.0
452,2025-02-18 08:02:00,-4.0
453,2025-02-18 08:04:00,-4.0
454,2025-02-18 08:06:00,-4.0
455,2025-02-18 08:08:00,-4.0
456,2025-02-18 08:10:00,-4.0
457,2025-02-18 08:12:00,-4.0
458,2025-02-18 08:14:00,-4.0
459,2025-02-18 08:16:00,-4.0
460,2025-02-18 08:18:00,-4.0
461,2025-02-18 08:20:00,-4.0
462,2025-02-18 08:22:00,-4.0
463,2025-02-18 08:24:00,-4.0
464,2025-02-18 08:26:00,-4.0
465,2025-02-18 08:28:00,-4.0
466,2025-02-18 08:30:00,-4.0
467,2025-02-18 08:32:00,-4.0
468,2025-02-18 08:34:00,-4.0
469,2025-02-18 08:36:00,-4.0
470,2025-02-18 08:38:00,-4.0
471,2025-02-18 08:40:00,-4.0
472,2025-02-18 08:42:00,-4.0
473,2025-02-18 08:44:00,-4.0
474,2025-02-18 08:46:00,-4.0
475,2025-02-18 08:48:00,-4.0
476,2025-02-18 08:50:00,-4.0
477,2025-02-18 08:52:00,-4.0
478,2025-02-18 08:54:00,-4.0
479,2025-02-18 08:56:00,-4.0
480,2025-02-18 08:58:00,-4.0
481,2025-02-18 09:00:00,-4.0
482,2025-02-18 09:02:00,-4.0
483,2025-02-18 09:04:00,-4.0
484,2025-02-18 09:06:00,-4.0
485,2025-02-18 09:08:00,-4.0
486,2025-02-18 09:10:00,-4.0
487,2025-02-18 09:12:00,-4.0
488,2025-02-18 09:14:00,-4.0
489,2025-02-18 09:16:00,-4.0
490,2025-02-18 09:18:00,-4.0
491,2025-02-18 09:20:00,-4.0
492,2025-02-18 09:22:00,-4.0
493,2025-02-18 09:24:00,-4.0
494,2025-02-18 09:26:00,-4.0
495,2025-02-18 09:28:00,-4.0
496,2025-02-18 09:30:00,-4.0
497,2025-02-18 09:32:00,-4.0
498,2025-02-18 09:34:00,-4.0
499,2025-02-18 09:36:00,-4.0
500,2025-02-18 09:38:00,-4.0
501,2025-02-18 09:40:00,-4.0
502,2025-02-18 09:42:00,-4.0
503,2025-02-18 09:44:00,-4.0
504,2025-02-18 09:46:00,-3.5
505,2025-02-18 09:48:00,-3.5
506,2025-02-18 09:50:00,-3.5
507,2025-02-18 09:52:00,-3.5
508,2025-02-18 09:54:00,-3.5
509,2025-02-18 09:56:00,-3.5
510,2025-02-18 09:58:00,-3.5
511,2025-02-18 10:00:00,-3.5
512,2025-02-18 10:02:00,-3.5
513,2025-02-18 10:04:00,-3.5
514,2025-02-18 10:06:00,-3.5
515,2025-02-18 10:08:00,-3.5
516,2025-02-18 10:10:00,-3.5
517,2025-02-18 10:12:00,-3.5
518,2025-02-18 10:14:00,-3.5
519,2025-02-18 10:16:00,-3.5
520,2025-02-18 10:18:00,-3.5
521,2025-02-18 10:20:00,-3.5
522,2025-02-18 10:22:00,-3.5
523,2025-02-18 10:24:00,-3.0
524,2025-02-18 10:26:00,-3.0
525,2025-02-18 10:28:00,-3.0
526,2025-02-18 10:30:00,-3.0
527,2025-02-18 10:32:00,-3.0
528,2025-02-18 10:34:00,-3.0
529,2025-02-18 10:36:00,-3.0
530,2025-02-18 10:38:00,-3.0
531,2025-02-18 10:40:00,-3.0
532,2025-02-18 10:42:00,-3.0
533,2025-02-18 10:44:00,-3.0
534,2025-02-18 10:46:00,-3.0
535,2025-02-18 10:48:00,-3.0
536,2025-02-18 10:50:00,-3.0
537,2025-02-18 10:52:00,-3.0
538,2025-02-18 10:54:00,-2.5
539,2025-02-18 10:56:00,-2.5
540,2025-02-18 10:58:00,-2.5
541,2025-02-18 11:00:00,-2.5
542,2025-02-18 11:02:00,-2.5
543,2025-02-18 11:04:00,-2.5
544,2025-02-18 11:06:00,-2.5
545,2025-02-18 11:08:00,-2.5
546,2025-02-18 11:10:00,-2.5
547,2025-02-18 11:12:00,-2.5
548,2025-02-18 11:14:00,-2.5
549,2025-02-18 11:16:00,-2.5
550,2025-02-18 11:18:00,-2.5
551,2025-02-18 11:20:00,-2.5
552,2025-02-18 11:22:00,-2.0
553,2025-02-18 11:24:00,-2.0
554,2025-02-18 11:26:00,-2.0
555,2025-02-18 11:28:00,-2.0
556,2025-02-18 11:30:00,-2.0
557,2025-02-18 11:32:00,-2.0
558,2025-02-18 11:34:00,-2.0
559,2025-02-18 11:36:00,-2.0
560,2025-02-18 11:38:00,-2.0
561,2025-02-18 11:40:00,-2.0
562,2025-02-18 11:42:00,-2.0
563,2025-02-18 11:44:00,-1.5
564,2025-02-18 11:46:00,-1.5
565,2025-02-18 11:48:00,-1.5
566,2025-02-18 11:50:00,-1.5
567,2025-02-18 11:52:00,-1.5
568,2025-02-18 11:54:00,-1.5
569,2025-02-18 11:56:00,-1.5
570,2025-02-18 11:58:00,-1.5
571,2025-02-18 12:00:00,-1.5
572,2025-02-18 12:02:00,-1.5
573,2025-02-18 12:04:00,-1.5
574,2025-02-18 12:06:00,-1.0
575,2025-02-18 12:08:00,-1.0
576,2025-02-18 12:10:00,-1.0
577,2025-02-18 12:12:00,-1.0
578,2025-02-18 12:14:00,-1.0
579,2025-02-18 12:16:00,-1.0
580,2025-02-18 12:18:00,-1.0
581,2025-02-18 12:20:00,-1.0
582,2025-02-18 12:22:00,-1.0
583,2025-02-18 12:24:00,-1.0
584,2025-02-18 12:26:00,-1.0
585,2025-02-18 12:28:00,-0.5
586,2025-02-18 12:30:00,-0.5
587,2025-02-18 12:32:00,-0.5
588,2025-02-18 12:34:00,-0.5
589,2025-02-18 12:36:00,-0.5
590,2025-02-18 12:38:00,-0.5
591,2025-02-18 12:40:00,-0.5
592,2025-02-18 12:42:00,-0.5
593,2025-02-18 12:44:00,-0.5
594,2025-02-18 12:46:00,-0.5
595,2025-02-18 12:48:00,-0.5
596,2025-02-18 12:50:00,0.0
597,2025-02-18 12:52:00,0.0
598,2025-02-18 12:54:00,0.0
599,2025-02-18 12:56:00,0.0
600,2025-02-18 12:58:00,0.0
601,2025-02-18 13:00:00,0.0
602,2025-02-18 13:02:00,0.0
603,2025-02-18 13:04:00,0.0
604,2025-02-18 13:06:00,0.0
605,2025-02-18 13:08:00,0.0
606,2025-02-18 13:10:00,0.0
607,2025-02-18 13:12:00,0.0
608,2025-02-18 13:14:00,0.5
609,2025-02-18 13:16:00,0.5
610,2025-02-18 13:18:00,0.5
611,2025-02-18 13:20:00,0.5
612,2025-02-18 13:22:00,0.5
613,2025-02-18 13:24:00,0.5
614,2025-02-18 13:26:00,0.5
615,2025-02-18 13:28:00,0.5
616,2025-02-18 13:30:00,0.5
617,2025-02-18 13:32:00,0.5
618,2025-02-18 13:34:00,0.5
619,2025-02-18 13:36:00,0.5
620,2025-02-18 13:38:00,1.0
621,2025-02-18 13:40:00,1.0
622,2025-02-18 13:42:00,1.0
623,2025-02-18 13:44:00,1.0
624,2025-02-18 13:46:00,1.0
625,2025-02-18 13:48:00,1.0
626,2025-02-18 13:50:00,1.0
627,2025-02-18 13:52:00,1.0
628,2025-02-18 13:54:00,1.0
629,2025-02-18 13:56:00,1.0
630,2025-02-18 13:58:00,1.0
631,2025-02-18 14:00:00,1.0
632,2025-02-18 14:02:00,1.0
633,2025-02-18 14:04:00,1.5
634,2025-02-18 14:06:00,1.5
635,2025-02-18 14:08:00,1.5
636,2025-02-18 14:10:00,1.5
637,2025-02-18 14:12:00,1.5
638,2025-02-18 14:14:00,1.5
639,2025-02-18 14:16:00,1.5
640,2025-02-18 14:18:00,1.5
641,2025-02-18 14:20:00,1.5
642,2025-02-18 14:22:00,1.5
643,2025-02-18 14:24:00,1.5
644,2025-02-18 14:26:00,1.5
645,2025-02-18 14:28:00,1.5
646,2025-02-18 14:30:00,1.5
647,2025-02-18 14:32:00,1.5
648,2025-02-18 14:34:00,1.5
649,2025-02-18 14:36:00,2.0
650,2025-02-18 14:38:00,2.0
651,2025-02-18 14:40:00,2.0
652,2025-02-18 14:42:00,2.0
653,2025-02-18 14:44:00,2.0
654,2025-02-18 14:46:00,2.0
655,2025-02-18 14:48:00,2.0
656,2025-02-18 14:50:00,2.0
657,2025-02-18 14:52:00,2.0
658,2025-02-18 14:54:00,2.0
659,2025-02-18 14:56:00,2.0
660,2025-02-18 14:58:00,2.0
661,2025-02-18 15:00:00,2.0
662,2025-02-18 15:02:00,2.0
663,2025-02-18 15:04:00,2.0
664,2025-02-18 15:06:00,2.0
665,2025-02-18 15:08:00,2.0
666,2025-02-18 15:10:00,2.0
667,2025-02-18 15:12:00,2.0
668,2025-02-18 15:14:00,2.0
669,2025-02-18 15:16:00,2.5
670,2025-02-18 15:18:00,2.5
671,2025-02-18 15:20:00,2.5
672,2025-02-18 15:22:00,2.5
673,2025-02-18 15:24:00,2.5
674,2025-02-18 15:26:00,2.5
675,2025-02-18 15:28:00,2.5
676,2025-02-18 15:30:00,2.5
677,2025-02-18 15:32:00,2.5
678,2025-02-18 15:34:00,2.5
679,2025-02-18 15:36:00,2.5
680,2025-02-18 15:38:00,2.5
681,2025-02-18 15:40:00,2.5
682,2025-02-18 15:42:00,2.5
683,2025-02-18 15:44:00,2.5
684,2025-02-18 15:46:00,2.5
685,2025-02-18 15:48:00,2.5
686,2025-02-18 15:50:00,2.5
687,2025-02-18 15:52:00,2.5
688,2025-02-18 15:54:00,2.5
689,2025-02-18 15:56:00,2.5
690,2025-02-18 15:58:00,2.5
691,2025-02-18 16:00:00,2.5
692,2025-02-18 16:02:00,2.5
693,2025-02-18 16:04:00,2.5
694,2025-02-18 16:06:00,2.5
695,2025-02-18 16:08:00,2.5
696,2025-02-18 16:10:00,2.5
697,2025-02-18 16:12:00,2.5
698,2025-02-18 16:14:00,2.5
699,2025-02-18 16:16:00,2.5
700,2025-02-18 16:18:00,2.5
701,2025-02-18 16:20:00,2.5
702,2025-02-18 16:22:00,2.5
703,2025-02-18 16:24:00,2.5
704,2025-02-18 16:26:00,2.5
705,2025-02-18 16:28:00,2.5
706,2025-02-18 16:30:00,2.5
